"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"255","255","Naji Marshall","SF","25","NOP","7","4","185","27","54",".500","7","19",".368","20","35",".571",".565","12","15",".800","9","17","26","16","8","3","10","12","73"
"256","256","Caleb Martin","PF","27","MIA","8","8","213","26","62",".419","7","17",".412","19","45",".422",".476","6","6","1.000","15","21","36","12","12","0","6","18","65"
"257","257","Cody Martin","SF","27","CHO","1","0","1","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0"
"258","258","Kenyon Martin Jr.","SF","22","HOU","9","2","226","32","72",".444","7","28",".250","25","44",".568",".493","15","22",".682","9","36","45","14","5","4","10","21","86"
"259","259","Tyrese Martin","SG","23","ATL","4","0","12","3","5",".600","1","2",".500","2","3",".667",".700","0","0","","1","0","1","0","1","0","0","1","7"
"260","260","Garrison Mathews","SG","26","HOU","9","0","120","9","29",".310","9","29",".310","0","0","",".466","8","8","1.000","1","8","9","4","3","1","4","14","35"
"261","261","Bennedict Mathurin","SG","20","IND","8","0","216","52","114",".456","21","49",".429","31","65",".477",".548","38","44",".864","12","22","34","17","4","0","17","20","163"
"262","262","Wesley Matthews","SG","36","MIL","7","0","112","9","27",".333","7","22",".318","2","5",".400",".463","3","4",".750","8","9","17","4","5","2","5","12","28"
"263","263","Tyrese Maxey","SG","22","PHI","9","9","340","80","155",".516","29","62",".468","51","93",".548",".610","29","39",".744","3","28","31","31","9","1","18","22","218"
"264","264","Miles McBride","PG","22","NYK","2","0","3","0","0","","0","0","","0","0","","","0","2",".000","0","0","0","0","0","0","0","1","0"
"265","265","CJ McCollum","SG","31","NOP","7","7","246","59","143",".413","13","47",".277","46","96",".479",".458","14","16",".875","4","26","30","51","9","3","11","14","145"
"266","266","T.J. McConnell","PG","30","IND","7","0","101","12","35",".343","0","1",".000","12","34",".353",".343","0","0","","4","7","11","19","9","2","10","6","24"
"267","267","Jaden McDaniels","PF","22","MIN","8","8","242","30","58",".517","6","21",".286","24","37",".649",".569","15","18",".833","10","14","24","8","13","12","11","27","81"
"268","268","Jalen McDaniels","SF","25","CHO","8","0","210","31","74",".419","14","28",".500","17","46",".370",".514","11","12",".917","9","37","46","19","10","6","10","22","87"
"269","269","Doug McDermott","SF","31","SAS","8","0","169","33","75",".440","20","46",".435","13","29",".448",".573","5","6",".833","3","18","21","14","0","2","8","15","91"
"270","270","JaVale McGee","C","35","DAL","6","6","68","11","21",".524","0","0","","11","21",".524",".524","7","12",".583","7","13","20","2","3","4","6","7","29"
"271","271","Bryce McGowens","SG","20","CHO","4","0","13","2","4",".500","0","1",".000","2","3",".667",".500","0","0","","0","1","1","1","1","1","0","0","4"
"272","272","Rodney McGruder","SG","31","DET","3","0","9","1","3",".333","1","3",".333","0","0","",".500","0","0","","0","1","1","0","0","0","0","1","3"
"273","273","Jordan McLaughlin","PG","26","MIN","6","0","105","11","25",".440","2","12",".167","9","13",".692",".480","2","2","1.000","2","11","13","20","4","0","4","3","26"
"274","274","De'Anthony Melton","PG","24","PHI","8","2","180","31","60",".517","11","27",".407","20","33",".606",".608","3","3","1.000","2","21","23","18","16","1","3","11","76"
"275","275","Chimezie Metu","C","25","SAC","3","0","25","2","7",".286","0","3",".000","2","4",".500",".286","2","2","1.000","0","7","7","3","1","1","0","3","6"
"276","276","Patty Mills","PG","34","BRK","8","0","109","15","34",".441","12","28",".429","3","6",".500",".618","10","10","1.000","2","4","6","6","1","0","2","5","52"
"277","277","Shake Milton","SG","26","PHI","5","0","45","6","15",".400","1","3",".333","5","12",".417",".433","0","0","","2","5","7","6","0","1","6","6","13"
"278","278","Davion Mitchell","PG","24","SAC","7","1","138","22","46",".478","8","22",".364","14","24",".583",".565","2","3",".667","0","13","13","15","4","0","12","13","54"
"279","279","Donovan Mitchell","SG","26","CLE","7","7","278","77","160",".481","28","64",".438","49","96",".510",".569","36","42",".857","7","24","31","50","11","5","25","23","218"
"280","280","Evan Mobley","PF","21","CLE","7","7","240","43","73",".589","2","9",".222","41","64",".641",".603","22","28",".786","10","33","43","15","7","7","18","21","110"
"281","281","Isaiah Mobley","PF","23","CLE","1","0","4","1","1","1.000","1","1","1.000","0","0","","1.500","0","0","","0","1","1","0","0","0","0","1","3"
"282","282","Chima Moneke","SF","27","SAC","1","0","6","0","1",".000","0","0","","0","1",".000",".000","0","2",".000","2","0","2","1","0","0","0","2","0"
"283","283","Malik Monk","SG","24","SAC","7","0","130","25","62",".403","14","40",".350","11","22",".500",".516","5","6",".833","4","12","16","30","4","3","12","9","69"
"284","284","Moses Moody","SG","20","GSW","8","0","133","17","43",".395","11","30",".367","6","13",".462",".523","6","8",".750","4","13","17","4","4","5","11","7","51"
"285","285","Wendell Moore Jr.","SG","21","MIN","1","0","2","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","0","0","0","0","0","1","0","0"
"286","286","Ja Morant","PG","23","MEM","7","7","228","73","139",".525","14","27",".519","59","112",".527",".576","60","70",".857","8","28","36","45","6","3","28","14","220"
"287","287","Marcus Morris","PF","33","LAC","6","6","175","37","70",".529","11","29",".379","26","41",".634",".607","4","4","1.000","4","31","35","13","6","1","5","12","89"
"288","288","Markieff Morris","PF","33","BRK","4","0","37","4","9",".444","4","8",".500","0","1",".000",".667","0","0","","1","7","8","1","1","1","4","5","12"
"289","289","Monte Morris","PG","27","WAS","8","8","222","26","63",".413","8","22",".364","18","41",".439",".476","11","15",".733","3","29","32","45","7","2","6","10","71"
"290","290","Trey Murphy III","SF","22","NOP","7","4","230","36","69",".522","19","40",".475","17","29",".586",".659","11","12",".917","13","28","41","9","8","1","7","18","102"
"291","291","Dejounte Murray","SG","26","ATL","8","8","291","70","150",".467","19","47",".404","51","103",".495",".530","17","19",".895","4","43","47","62","19","5","21","13","176"
"292","292","Jamal Murray","PG","25","DEN","6","6","160","34","82",".415","10","30",".333","24","52",".462",".476","5","9",".556","1","16","17","19","6","0","13","4","83"
"293","293","Keegan Murray","SF","22","SAC","6","4","205","36","74",".486","16","43",".372","20","31",".645",".595","6","7",".857","6","18","24","10","3","7","14","12","94"
"294","294","Mike Muscala","C","31","OKC","6","0","79","16","31",".516","5","16",".313","11","15",".733",".597","9","10",".900","6","25","31","5","0","2","3","8","46"
"295","295","Svi Mykhailiuk","SF","25","NYK","1","0","2","1","1","1.000","1","1","1.000","0","0","","1.500","0","0","","0","2","2","0","0","0","0","0","3"
"296","296","Larry Nance Jr.","PF","30","NOP","7","0","158","28","46",".609","2","5",".400","26","41",".634",".630","1","3",".333","8","29","37","19","7","5","9","16","59"
"297","297","Andrew Nembhard","SG","23","IND","7","0","109","13","34",".382","8","21",".381","5","13",".385",".500","4","4","1.000","3","10","13","19","4","1","3","12","38"
"298","298","Aaron Nesmith","SF","23","IND","6","4","131","19","43",".442","7","22",".318","12","21",".571",".523","7","9",".778","3","18","21","9","1","5","6","18","52"
"299","299","Raul Neto","PG","30","CLE","6","0","61","7","17",".412","1","6",".167","6","11",".545",".441","4","4","1.000","2","5","7","8","2","0","2","6","19"
"300","300","Georges Niang","PF","29","PHI","9","0","150","26","51",".510","18","37",".486","8","14",".571",".686","2","2","1.000","2","14","16","4","1","2","5","16","72"
"301","301","Daishen Nix","PG","20","HOU","7","0","103","11","26",".423","8","17",".471","3","9",".333",".577","3","4",".750","3","5","8","13","3","1","9","5","33"
"302","302","Zeke Nnaji","PF","22","DEN","5","0","20","4","7",".571","0","2",".000","4","5",".800",".571","0","0","","0","0","0","0","1","0","1","8","8"
"303","303","Nerlens Noel","C","28","DET","2","0","32","2","7",".286","0","0","","2","7",".286",".286","2","2","1.000","2","5","7","3","1","1","0","3","6"
"304","304","Jaylen Nowell","SG","23","MIN","8","0","162","41","103",".398","9","35",".257","32","68",".471",".442","8","11",".727","8","23","31","19","5","1","2","11","99"
"305","305","Kendrick Nunn","PG","27","LAL","6","0","79","14","42",".333","6","22",".273","8","20",".400",".405","0","1",".000","0","11","11","6","1","1","10","7","34"
"306","306","Jusuf Nurkić","C","28","POR","7","7","218","37","74",".500","4","7",".571","33","67",".493",".527","26","30",".867","24","62","86","19","6","7","17","23","104"
"307","307","Jordan Nwora","SF","24","MIL","7","0","116","14","38",".368","8","20",".400","6","18",".333",".474","5","5","1.000","6","19","25","3","3","0","9","8","41"
"308","308","Royce O'Neale","SF","29","BRK","8","8","295","32","78",".410","20","49",".408","12","29",".414",".538","2","2","1.000","7","28","35","24","11","7","9","29","86"
"309","309","Chuma Okeke","PF","24","ORL","8","0","133","11","29",".379","8","23",".348","3","6",".500",".517","4","4","1.000","9","21","30","12","2","0","4","14","34"
"310","310","Josh Okogie","SG","24","PHO","6","0","23","3","6",".500","0","2",".000","3","4",".750",".500","2","2","1.000","3","5","8","0","1","0","0","3","8"
"311","311","Onyeka Okongwu","C","22","ATL","8","0","159","31","44",".705","0","0","","31","44",".705",".705","8","13",".615","17","28","45","6","4","7","6","25","70"
"312","312","Isaac Okoro","SG","22","CLE","7","2","105","4","18",".222","0","10",".000","4","8",".500",".222","2","2","1.000","1","7","8","2","2","1","7","14","10"
"313","313","KZ Okpala","PF","23","SAC","6","3","39","1","5",".200","1","4",".250","0","1",".000",".300","0","0","","2","4","6","2","0","0","0","4","3"
"314","314","Kelly Olynyk","PF","31","UTA","9","9","241","39","72",".542","16","29",".552","23","43",".535",".653","15","22",".682","12","25","37","31","14","6","25","42","109"
"315","315","Eugene Omoruyi","SF","25","OKC","4","0","39","7","14",".500","1","5",".200","6","9",".667",".536","6","9",".667","5","4","9","1","0","0","2","12","21"
"316","316","Cedi Osman","SF","27","CLE","7","0","167","24","58",".414","11","33",".333","13","25",".520",".509","10","13",".769","3","15","18","12","1","1","5","20","69"
"317","317","Kelly Oubre Jr.","SF","27","CHO","8","8","236","53","125",".424","21","57",".368","32","68",".471",".508","12","19",".632","8","33","41","11","12","3","8","22","139"
"318","318","Chris Paul","PG","37","PHO","7","7","230","23","64",".359","6","26",".231","17","38",".447",".406","19","23",".826","5","31","36","77","13","1","12","18","71"
"319","319","Cameron Payne","PG","28","PHO","7","0","112","24","57",".421","9","23",".391","15","34",".441",".500","5","6",".833","2","12","14","20","8","1","13","7","62"
"320","320","Theo Pinson","SG","27","DAL","1","0","7","0","0","","0","0","","0","0","","","2","2","1.000","0","2","2","1","0","0","0","0","2"
"321","321","Scotty Pippen Jr.","PG","22","LAL","1","0","2","0","0","","0","0","","0","0","","","2","2","1.000","0","0","0","0","0","0","0","0","2"
"322","322","Mason Plumlee","C","32","CHO","8","8","196","25","41",".610","0","0","","25","41",".610",".610","17","32",".531","20","43","63","34","2","6","14","28","67"
"323","323","Jakob Poeltl","C","27","SAS","8","8","227","44","68",".647","0","0","","44","68",".647",".647","17","29",".586","35","51","86","28","5","7","20","16","105"
"324","324","Aleksej Pokusevski","PF","21","OKC","7","3","149","21","54",".389","7","22",".318","14","32",".438",".454","5","10",".500","12","21","33","12","5","8","11","11","54"
"325","325","Jordan Poole","SG","23","GSW","8","1","233","46","104",".442","18","56",".321","28","48",".583",".529","24","30",".800","1","12","13","40","11","1","23","21","134"
"326","326","Kevin Porter Jr.","PG","22","HOU","9","9","314","63","154",".409","16","46",".348","47","108",".435",".461","42","53",".792","17","41","58","49","14","3","32","23","184"
"327","327","Michael Porter Jr.","SF","24","DEN","6","6","174","38","81",".469","23","47",".489","15","34",".441",".611","12","15",".800","12","33","45","7","4","2","8","24","111"
"328","328","Otto Porter Jr.","SF","29","TOR","1","0","11","1","2",".500","1","2",".500","0","0","",".750","2","2","1.000","0","3","3","0","2","0","0","0","5"
"329","329","Bobby Portis","PF","27","MIL","7","0","173","38","79",".481","8","25",".320","30","54",".556",".532","6","9",".667","22","50","72","11","3","3","6","11","90"
"330","330","Kristaps Porziņģis","PF","27","WAS","8","8","252","60","115",".522","15","41",".366","45","74",".608",".587","33","38",".868","20","48","68","18","6","10","14","28","168"
"331","331","Micah Potter","PF","24","UTA","2","0","12","2","2","1.000","0","0","","2","2","1.000","1.000","0","0","","1","2","3","1","0","0","0","2","4"
"332","332","Dwight Powell","C","31","DAL","4","1","56","11","15",".733","0","1",".000","11","14",".786",".733","6","8",".750","4","7","11","0","1","3","1","6","28"
"333","333","Norman Powell","SG","29","LAC","8","5","207","32","83",".386","8","33",".242","24","50",".480",".434","13","19",".684","4","18","22","11","4","3","21","12","85"
"334","334","Jason Preston","PG","23","LAC","1","0","3","0","1",".000","0","1",".000","0","0","",".000","0","2",".000","0","0","0","0","0","0","0","0","0"
"335","335","Joshua Primo","SG","20","SAS","4","0","93","9","26",".346","3","12",".250","6","14",".429",".404","7","9",".778","2","11","13","18","1","2","11","8","28"
"336","336","Taurean Prince","SF","28","MIN","8","0","149","24","41",".585","14","27",".519","10","14",".714",".756","3","4",".750","3","20","23","10","4","1","6","22","65"
"337","337","Payton Pritchard","PG","25","BOS","3","0","17","2","7",".286","2","4",".500","0","3",".000",".429","1","2",".500","0","1","1","4","0","0","2","2","7"
"338","338","Immanuel Quickley","PG","23","NYK","7","0","163","21","56",".375","9","29",".310","12","27",".444",".455","12","16",".750","6","36","42","28","4","1","12","9","63"
"339","339","Julius Randle","PF","28","NYK","7","7","228","43","101",".426","6","29",".207","37","72",".514",".455","32","46",".696","15","47","62","23","8","2","17","29","124"
"340","340","Austin Reaves","SG","24","LAL","7","1","172","16","32",".500","8","20",".400","8","12",".667",".625","11","12",".917","3","14","17","12","4","1","6","9","51"
"341","341","Cam Reddish","SF","23","NYK","7","0","128","22","46",".478","7","19",".368","15","27",".556",".554","4","5",".800","2","14","16","5","3","3","7","13","55"
"342","342","Davon Reed","SG","27","DEN","5","0","32","1","7",".143","1","4",".250","0","3",".000",".214","1","2",".500","0","3","3","1","3","0","4","4","4"
"343","343","Paul Reed","C","23","PHI","6","0","27","1","5",".200","0","0","","1","5",".200",".200","0","0","","1","4","5","1","3","1","1","4","2"
"344","344","Naz Reid","C","23","MIN","6","0","65","19","31",".613","4","10",".400","15","21",".714",".677","4","6",".667","4","10","14","3","4","4","1","6","46"
"345","345","Nick Richards","C","25","CHO","8","0","160","32","49",".653","0","0","","32","49",".653",".653","19","28",".679","24","27","51","8","0","5","5","15","83"
"346","346","Josh Richardson","SG","29","SAS","7","2","166","27","59",".458","16","37",".432","11","22",".500",".593","10","10","1.000","1","16","17","25","6","1","10","13","80"
"347","347","Austin Rivers","SG","30","MIN","4","0","27","0","4",".000","0","1",".000","0","3",".000",".000","0","0","","0","2","2","1","0","0","0","0","0"
"348","348","Duncan Robinson","SF","28","MIA","9","0","135","19","49",".388","14","35",".400","5","14",".357",".531","4","4","1.000","3","20","23","12","0","0","3","17","56"
"349","349","Mitchell Robinson","C","24","NYK","7","7","162","23","33",".697","0","0","","23","33",".697",".697","6","14",".429","27","22","49","7","3","18","5","26","52"
"350","350","Jeremiah Robinson-Earl","PF","22","OKC","7","5","120","18","35",".514","8","19",".421","10","16",".625",".629","5","5","1.000","5","20","25","7","9","2","2","13","49"
"351","351","Isaiah Roby","PF","24","SAS","5","0","52","6","14",".429","2","6",".333","4","8",".500",".500","1","3",".333","3","9","12","6","5","2","2","4","15"
"352","352","David Roddy","PF","21","MEM","8","0","160","16","52",".308","7","31",".226","9","21",".429",".375","5","6",".833","7","18","25","8","7","3","5","17","44"
"353","353","Ryan Rollins","PG","20","GSW","3","0","4","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","1","1","1","0","0","1","2","0"
"354","354","Derrick Rose","PG","34","NYK","7","0","95","21","42",".500","9","19",".474","12","23",".522",".607","3","3","1.000","2","13","15","17","1","1","7","5","54"
"355","355","Terrence Ross","SG","31","ORL","8","8","220","31","67",".463","15","37",".405","16","30",".533",".575","4","6",".667","4","18","22","10","6","2","3","18","81"
"356","356","Terry Rozier","PG","28","CHO","2","2","66","17","43",".395","6","15",".400","11","28",".393",".465","7","8",".875","4","10","14","17","1","3","6","2","47"
"357","357","D'Angelo Russell","PG","26","MIN","8","8","241","41","104",".394","12","43",".279","29","61",".475",".452","18","23",".783","6","27","33","46","13","6","25","16","112"
"358","358","Matt Ryan","SF","25","LAL","5","0","70","11","26",".423","9","20",".450","2","6",".333",".596","0","0","","1","4","5","1","1","0","2","8","31"
"359","359","Domantas Sabonis","PF","26","SAC","7","7","212","38","71",".535","1","8",".125","37","63",".587",".542","26","38",".684","16","58","74","43","6","5","16","30","103"
"360","360","Dario Šarić","PF","28","PHO","2","0","7","1","2",".500","1","1","1.000","0","1",".000",".750","0","0","","1","2","3","1","1","0","0","1","3"
"361","361","Jordan Schakel","SF","24","WAS","2","0","6","1","2",".500","1","1","1.000","0","1",".000",".750","0","0","","0","0","0","1","1","0","0","1","3"
"362","362","Admiral Schofield","PF","25","ORL","2","0","17","2","3",".667","1","2",".500","1","1","1.000",".833","0","0","","0","2","2","0","0","0","0","4","5"
"363","363","Dereon Seabron","SG","22","NOP","2","0","3","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0"
"364","364","Alperen Şengün","C","20","HOU","7","4","190","42","74",".568","3","11",".273","39","63",".619",".588","30","38",".789","26","46","72","11","4","7","12","24","117"
"365","365","Collin Sexton","SG","24","UTA","9","1","188","39","84",".464","10","28",".357","29","56",".518",".524","31","37",".838","10","15","25","16","8","1","15","21","119"
"366","366","Landry Shamet","SG","25","PHO","5","0","78","10","25",".400","7","18",".389","3","7",".429",".540","6","8",".750","1","2","3","5","5","0","3","8","33"
"367","367","Day'Ron Sharpe","C","21","BRK","5","0","71","8","18",".444","0","1",".000","8","17",".471",".444","4","8",".500","9","15","24","5","3","5","5","18","20"
"368","368","Shaedon Sharpe","SG","19","POR","7","2","136","23","50",".460","6","15",".400","17","35",".486",".520","6","9",".667","8","12","20","4","4","2","5","17","58"
"369","369","Pascal Siakam","C","28","TOR","8","8","289","73","153",".477","13","36",".361","60","117",".513",".520","46","63",".730","12","65","77","63","7","5","22","25","205"
"370","370","Ben Simmons","PG","26","BRK","6","6","191","15","34",".441","0","1",".000","15","33",".455",".441","7","15",".467","6","33","39","44","7","4","16","26","37"
"371","371","Marko Simonovic","C","23","CHI","1","0","2","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","0","0","0","0","0","0","0","0"
"372","372","Anfernee Simons","SG","23","POR","7","7","257","55","126",".437","26","70",".371","29","56",".518",".540","18","20",".900","3","17","20","27","6","2","20","19","154"
"373","373","Jericho Sims","C","24","NYK","2","0","3","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","0","0","0","0","0"
"374","374","Marcus Smart","PG","28","BOS","7","7","242","23","67",".343","9","41",".220","14","26",".538",".410","18","20",".900","2","23","25","42","8","2","12","20","73"
"375","375","Dennis Smith Jr.","PG","25","CHO","8","6","247","42","85",".494","8","19",".421","34","66",".515",".541","4","7",".571","6","28","34","51","18","4","14","19","96"
"376","376","Dru Smith","SG","25","MIA","1","0","6","1","3",".333","0","2",".000","1","1","1.000",".333","0","0","","0","1","1","0","1","0","0","1","2"
"377","377","Ish Smith","PG","34","DEN","5","0","23","2","8",".250","0","1",".000","2","7",".286",".250","0","0","","0","2","2","2","0","1","4","4","4"
"378","378","Jabari Smith Jr.","PF","19","HOU","9","9","276","32","105",".305","17","56",".304","15","49",".306",".386","16","18",".889","10","45","55","7","2","11","10","32","97"
"379","379","Jalen Smith","PF","22","IND","8","8","202","36","79",".456","8","28",".286","28","51",".549",".506","15","22",".682","17","52","69","7","2","8","10","18","95"
"380","380","Jeremy Sochan","PF","19","SAS","7","7","151","22","49",".449","4","19",".211","18","30",".600",".490","2","5",".400","7","21","28","12","6","3","7","17","50"
"381","381","Jaden Springer","PG","20","PHI","2","0","4","2","3",".667","0","0","","2","3",".667",".667","1","2",".500","1","1","2","0","0","1","0","1","5"
"382","382","Lamar Stevens","PF","25","CLE","2","0","4","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","1","1","0","0","0","0","0","0"
"383","383","Isaiah Stewart","C","21","DET","9","9","265","37","81",".457","10","37",".270","27","44",".614",".519","37","50",".740","27","66","93","11","3","5","7","23","121"
"384","384","Max Strus","SF","26","MIA","9","2","281","46","103",".447","24","66",".364","22","37",".595",".563","9","12",".750","8","31","39","17","4","5","8","19","125"
"385","385","Jalen Suggs","PG","21","ORL","3","2","70","12","30",".400","5","18",".278","7","12",".583",".483","4","6",".667","2","3","5","8","7","1","11","10","33"
"386","386","Edmond Sumner","SG","27","BRK","6","0","77","9","25",".360","0","8",".000","9","17",".529",".360","13","13","1.000","0","5","5","11","2","1","6","4","31"
"387","387","Cole Swider","SF","23","LAL","1","0","2","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","1","1","1","0","0","0","0","0"
"388","388","Jae'Sean Tate","SF","27","HOU","3","2","68","10","20",".500","2","5",".400","8","15",".533",".550","3","4",".750","8","5","13","10","3","0","5","15","25"
"389","389","Jayson Tatum","PF","24","BOS","7","7","261","72","136",".529","22","58",".379","50","78",".641",".610","45","49",".918","6","50","56","27","6","10","21","10","211"
"390","390","Terry Taylor","SG","23","IND","6","2","88","7","20",".350","2","7",".286","5","13",".385",".400","3","4",".750","6","9","15","5","2","4","1","9","19"
"391","391","Garrett Temple","SG","36","NOP","2","0","21","2","4",".500","2","4",".500","0","0","",".750","0","0","","0","1","1","1","1","0","0","2","6"
"392","392","Dalen Terry","SG","20","CHI","5","0","12","0","5",".000","0","2",".000","0","3",".000",".000","0","0","","0","1","1","1","0","1","2","1","0"
"393","393","Cam Thomas","SG","21","BRK","3","0","14","1","4",".250","0","1",".000","1","3",".333",".250","0","0","","0","0","0","1","0","0","0","0","2"
"394","394","Klay Thompson","SG","32","GSW","7","7","180","34","97",".351","18","61",".295","16","36",".444",".443","7","8",".875","1","18","19","17","2","2","12","10","93"
"395","395","JT Thor","PF","20","CHO","7","0","75","5","14",".357","1","9",".111","4","5",".800",".393","3","4",".750","3","12","15","2","1","4","3","6","14"
"396","396","Matisse Thybulle","SG","25","PHI","8","1","80","4","12",".333","2","7",".286","2","5",".400",".417","1","3",".333","1","7","8","5","5","2","1","7","11"
"397","397","Xavier Tillman Sr.","PF","24","MEM","5","0","59","10","18",".556","1","3",".333","9","15",".600",".583","2","7",".286","8","9","17","3","0","2","4","3","23"
"398","398","Isaiah Todd","PF","21","WAS","3","0","9","1","3",".333","0","2",".000","1","1","1.000",".333","0","0","","0","0","0","0","0","0","0","0","2"
"399","399","Obi Toppin","PF","24","NYK","7","0","112","28","54",".519","11","24",".458","17","30",".567",".620","2","2","1.000","6","18","24","9","1","1","5","5","69"
"400","400","Juan Toscano-Anderson","SF","29","LAL","4","0","66","6","15",".400","1","8",".125","5","7",".714",".433","1","1","1.000","0","13","13","3","2","0","3","7","14"
"401","401","Karl-Anthony Towns","PF","27","MIN","8","8","284","61","129",".473","17","48",".354","44","81",".543",".539","34","38",".895","16","50","66","44","5","4","27","27","173"
"402","402","Gary Trent Jr.","SG","24","TOR","8","8","285","58","129",".450","26","68",".382","32","61",".525",".550","18","23",".783","8","9","17","11","11","1","7","8","160"
"403","403","P.J. Tucker","PF","37","PHI","9","9","258","22","37",".595","10","19",".526","12","18",".667",".730","2","2","1.000","13","25","38","5","5","4","10","26","56"
"404","404","Myles Turner","C","26","IND","3","3","77","10","29",".345","3","11",".273","7","18",".389",".397","16","19",".842","3","18","21","6","1","11","8","9","39"
"405","405","Jonas Valančiūnas","C","30","NOP","7","7","180","39","77",".506","4","11",".364","35","66",".530",".532","27","30",".900","26","47","73","19","4","3","11","15","109"
"406","406","Jarred Vanderbilt","PF","23","UTA","9","9","228","33","59",".559","5","10",".500","28","49",".571",".602","10","15",".667","20","56","76","27","14","5","18","35","81"
"407","407","Fred VanVleet","PG","28","TOR","6","6","228","24","68",".353","14","37",".378","10","31",".323",".456","18","21",".857","6","18","24","46","15","4","7","16","80"
"408","408","Devin Vassell","SG","22","SAS","4","4","130","27","66",".409","13","33",".394","14","33",".424",".508","12","16",".750","1","19","20","18","5","0","4","5","79"
"409","409","Gabe Vincent","PG","26","MIA","9","0","207","23","63",".365","8","31",".258","15","32",".469",".429","11","14",".786","4","16","20","31","6","1","14","22","65"
"410","410","Noah Vonleh","C","27","BOS","6","1","73","7","13",".538","0","0","","7","13",".538",".538","0","0","","9","10","19","1","2","6","5","17","14"
"411","411","Nikola Vučević","C","32","CHI","9","9","280","49","119",".412","14","40",".350","35","79",".443",".471","28","30",".933","30","81","111","25","2","8","19","22","140"
"412","412","Dean Wade","PF","26","CLE","7","3","174","23","39",".590","15","27",".556","8","12",".667",".782","8","11",".727","4","21","25","9","3","2","3","16","69"
"413","413","Franz Wagner","SF","21","ORL","8","8","270","51","118",".432","7","36",".194","44","82",".537",".462","17","20",".850","11","21","32","35","8","4","23","16","126"
"414","414","Jabari Walker","SF","20","POR","3","0","13","2","3",".667","0","1",".000","2","2","1.000",".667","0","0","","1","4","5","3","0","0","0","0","4"
"415","415","Lonnie Walker IV","SG","24","LAL","7","7","229","42","96",".438","12","41",".293","30","55",".545",".500","17","22",".773","5","18","23","16","8","7","10","13","113"
"416","416","John Wall","PG","32","LAC","6","0","122","29","63",".460","4","18",".222","25","45",".556",".492","13","21",".619","3","9","12","27","6","2","11","8","75"
"417","417","Duane Washington Jr.","SG","22","PHO","3","0","4","1","4",".250","0","2",".000","1","2",".500",".250","0","0","","0","0","0","0","0","0","0","0","2"
"418","418","P.J. Washington","PF","24","CHO","8","8","249","50","110",".455","16","42",".381","34","68",".500",".527","12","14",".857","9","29","38","15","3","10","16","24","128"
"419","419","Yuta Watanabe","SF","28","BRK","7","0","108","12","20",".600","7","12",".583","5","8",".625",".775","0","2",".000","2","11","13","2","0","3","2","8","31"
"420","420","Lindy Waters III","SG","25","OKC","2","0","16","1","6",".167","1","6",".167","0","0","",".250","0","0","","1","1","2","0","0","0","0","0","3"
"421","421","Peyton Watson","SG","20","DEN","4","0","9","3","7",".429","0","0","","3","7",".429",".429","0","0","","2","1","3","0","0","0","0","1","6"
"422","422","Blake Wesley","SG","19","SAS","2","0","23","6","9",".667","2","3",".667","4","6",".667",".778","2","4",".500","1","1","2","4","0","0","2","3","16"
"423","423","Russell Westbrook","PG","34","LAL","6","3","175","29","77",".377","5","24",".208","24","53",".453",".409","17","24",".708","7","36","43","33","7","2","19","14","80"
"424","424","Coby White","PG","22","CHI","7","0","153","21","55",".382","10","34",".294","11","21",".524",".473","5","9",".556","1","11","12","12","5","0","6","14","57"
"425","425","Derrick White","SG","28","BOS","7","7","189","21","48",".438","11","26",".423","10","22",".455",".552","8","10",".800","4","20","24","22","4","5","5","23","61"
"426","426","Jack White","SF","25","DEN","2","0","4","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","1","0","0","0","0"
"427","427","Aaron Wiggins","SG","24","OKC","6","3","145","14","35",".400","5","15",".333","9","20",".450",".471","7","9",".778","6","26","32","9","4","2","4","7","40"
"428","428","Andrew Wiggins","SF","27","GSW","8","8","267","54","117",".462","19","49",".388","35","68",".515",".543","15","19",".789","15","33","48","23","11","9","5","24","142"
"429","429","Grant Williams","PF","24","BOS","6","0","155","19","30",".633","12","21",".571","7","9",".778",".833","9","11",".818","4","23","27","9","3","6","2","18","59"
"430","430","Jalen Williams","SG","21","OKC","3","1","54","10","17",".588","1","4",".250","9","13",".692",".618","3","3","1.000","0","4","4","4","6","1","7","7","24"
"431","431","Jaylin Williams","PF","20","OKC","1","0","8","2","4",".500","0","0","","2","4",".500",".500","0","1",".000","3","3","6","2","0","0","0","2","4"
"432","432","Kenrich Williams","PF","28","OKC","6","2","125","17","35",".486","4","12",".333","13","23",".565",".543","1","3",".333","11","14","25","10","3","2","3","11","39"
