"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"149","149","AJ Griffin","SF","19","ATL","5","0","41","9","17",".529","5","10",".500","4","7",".571",".676","0","0","","2","2","4","3","2","0","0","3","23"
"150","150","Blake Griffin","PF","33","BOS","4","0","35","2","8",".250","1","3",".333","1","5",".200",".313","5","6",".833","5","6","11","3","2","0","2","8","10"
"151","151","Quentin Grimes","SG","22","NYK","1","0","5","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","0","0","1","0","0","0","1","0"
"152","152","Rui Hachimura","PF","24","WAS","8","0","193","35","77",".455","4","16",".250","31","61",".508",".481","14","18",".778","10","36","46","10","2","5","12","8","88"
"153","153","Tyrese Haliburton","PG","22","IND","8","8","267","59","121",".488","22","49",".449","37","72",".514",".579","35","37",".946","10","27","37","75","13","1","29","10","175"
"154","154","Jordan Hall","SF","21","SAS","1","0","17","1","4",".250","1","3",".333","0","1",".000",".375","0","0","","0","1","1","2","0","0","2","0","3"
"155","155","R.J. Hampton","PG","21","ORL","7","0","111","14","29",".483","6","11",".545","8","18",".444",".586","8","9",".889","4","10","14","10","6","1","4","9","42"
"156","156","Tim Hardaway Jr.","SG","30","DAL","6","0","151","20","64",".313","12","37",".324","8","27",".296",".406","23","24",".958","0","10","10","10","3","2","6","10","75"
"157","157","James Harden","SG","33","PHI","9","9","331","63","143",".441","20","60",".333","43","83",".518",".510","52","56",".929","5","58","63","90","10","6","26","18","198"
"158","158","Jaden Hardy","SG","20","DAL","2","0","10","0","5",".000","0","2",".000","0","3",".000",".000","0","0","","0","2","2","1","0","0","2","2","0"
"159","159","Ron Harper Jr.","SF","22","TOR","1","0","3","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","0","0","0","0","0","0","0","0"
"160","160","Montrezl Harrell","C","29","PHI","9","0","93","9","20",".450","0","0","","9","20",".450",".450","8","12",".667","5","9","14","4","2","5","3","11","26"
"161","161","Joe Harris","SG","31","BRK","6","2","135","15","38",".395","9","26",".346","6","12",".500",".513","1","3",".333","4","12","16","11","3","3","3","13","40"
"162","162","Kevon Harris","SG","25","ORL","6","0","70","5","15",".333","2","6",".333","3","9",".333",".400","5","7",".714","1","10","11","4","2","0","6","9","17"
"163","163","Tobias Harris","PF","30","PHI","9","9","293","46","96",".479","22","49",".449","24","47",".511",".594","7","12",".583","11","45","56","23","13","6","6","20","121"
"164","164","Josh Hart","SG","27","POR","7","7","255","24","48",".500","3","9",".333","21","39",".538",".531","17","21",".810","15","46","61","28","9","2","13","16","68"
"165","165","Isaiah Hartenstein","C","24","NYK","7","0","175","25","47",".532","2","10",".200","23","37",".622",".553","6","8",".750","26","28","54","8","7","10","8","20","58"
"166","166","Udonis Haslem","PF","42","MIA","2","0","10","1","3",".333","0","0","","1","3",".333",".333","1","2",".500","0","2","2","0","0","1","0","1","3"
"167","167","Sam Hauser","PF","25","BOS","7","0","79","11","20",".550","10","19",".526","1","1","1.000",".800","1","2",".500","1","9","10","3","2","1","1","8","33"
"168","168","Jaxson Hayes","C","22","NOP","5","0","37","1","5",".200","0","2",".000","1","3",".333",".200","0","2",".000","1","4","5","3","1","1","1","5","2"
"169","169","Killian Hayes","PG","21","DET","9","0","159","9","52",".173","3","17",".176","6","35",".171",".202","4","5",".800","3","17","20","29","6","4","13","22","25"
"170","170","Gordon Hayward","SF","32","CHO","8","8","248","50","106",".472","10","28",".357","40","78",".513",".519","29","37",".784","4","30","34","33","6","2","22","6","139"
"171","171","Juancho Hernangómez","PF","27","TOR","4","0","24","0","2",".000","0","2",".000","0","0","",".000","0","0","","0","2","2","2","1","1","1","2","0"
"172","172","Willy Hernangómez","C","28","NOP","2","0","14","1","5",".200","0","1",".000","1","4",".250",".200","2","2","1.000","4","5","9","1","0","0","1","2","4"
"173","173","Tyler Herro","SG","23","MIA","9","9","276","64","134",".478","20","54",".370","44","80",".550",".552","19","22",".864","6","53","59","21","5","6","16","15","167"
